country,entry_year,iso_2,iso_3
Australia,1971,AU,AUS
Austria,1961,AT,AUT
Belgium,1961,BE,BEL
Canada,1961,CA,CAN
Chile,2010,CL,CHL
Czech Republic,1995,CZ,CZE
Denmark,1961,DK,DNK
Estonia,2010,EE,EST
Finland,1969,FI,FIN
France,1961,FR,FRA
Germany,1961,DE,DEU
Greece,1961,GR,GRC
Hungary,1996,HU,HUN
Iceland,1961,IS,ISL
Ireland,1961,IE,IRL
Israel,2010,IL,ISR
Italy,1962,IT,ITA
Japan,1964,JP,JPN
Korea,1996,KR,KOR
Latvia,2016,LV,LVA
Lithuania,2018,LT,LTU
Luxembourg,1961,LU,LUX
Mexico,1994,MX,MEX
Netherlands,1961,NL,NLD
New Zealand,1973,NZ,NZL
Norway,1961,NO,NOR
Poland,1996,PL,POL
Portugal,1961,PT,PRT
Slovak Republic,2000,SK,SVK
Slovenia,2010,SI,SVN
Spain,1961,ES,ESP
Sweden,1961,SE,SWE
Switzerland,1961,CH,CHE
Turkey,1961,TR,TUR
United Kingdom,1961,GB,GBR
United States,1961,US,USA
